goos: darwin
goarch: arm64
pkg: github.com/zchee/gows/bench
cpu: Apple M3 Max
BenchmarkDeflateEncode/stdlib/level1/jsonlike/256B-16         	  252670	      4718 ns/op	  54.26 MB/s	         0.5391 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/256B-16         	  258129	      4688 ns/op	  54.60 MB/s	         0.5391 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/256B-16         	  257842	      4671 ns/op	  54.80 MB/s	         0.5391 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/256B-16         	  255429	      4700 ns/op	  54.46 MB/s	         0.5391 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/256B-16         	  255208	      4713 ns/op	  54.31 MB/s	         0.5391 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/256B-16         	  255182	      4683 ns/op	  54.67 MB/s	         0.5391 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/256B-16         	  259225	      4710 ns/op	  54.35 MB/s	         0.5391 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/256B-16         	  252578	      4682 ns/op	  54.68 MB/s	         0.5391 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/256B-16         	  244814	      4625 ns/op	  55.35 MB/s	         0.5391 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/256B-16         	  262330	      4685 ns/op	  54.64 MB/s	         0.5391 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/1KB-16          	  175166	      6872 ns/op	 149.02 MB/s	         0.2676 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/1KB-16          	  175134	      6858 ns/op	 149.30 MB/s	         0.2676 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/1KB-16          	  174270	      6886 ns/op	 148.72 MB/s	         0.2676 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/1KB-16          	  173770	      6886 ns/op	 148.70 MB/s	         0.2676 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/1KB-16          	  173997	      6899 ns/op	 148.42 MB/s	         0.2676 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/1KB-16          	  172642	      6980 ns/op	 146.70 MB/s	         0.2676 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/1KB-16          	  175269	      6855 ns/op	 149.39 MB/s	         0.2676 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/1KB-16          	  174842	      6843 ns/op	 149.65 MB/s	         0.2676 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/1KB-16          	  176614	      6837 ns/op	 149.78 MB/s	         0.2676 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/1KB-16          	  175225	      6852 ns/op	 149.45 MB/s	         0.2676 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/4KB-16          	   96100	     12535 ns/op	 326.76 MB/s	         0.1980 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/4KB-16          	   95874	     12555 ns/op	 326.23 MB/s	         0.1980 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/4KB-16          	   94914	     12482 ns/op	 328.14 MB/s	         0.1980 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/4KB-16          	   94851	     12471 ns/op	 328.43 MB/s	         0.1980 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/4KB-16          	   99260	     12327 ns/op	 332.27 MB/s	         0.1980 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/4KB-16          	   93595	     12833 ns/op	 319.16 MB/s	         0.1980 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/4KB-16          	   95678	     14039 ns/op	 291.77 MB/s	         0.1980 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/4KB-16          	   96183	     12626 ns/op	 324.40 MB/s	         0.1980 ratio	       0 B/op	       0 allocs/op
