goos: linux
goarch: amd64
pkg: github.com/zchee/gows/bench
cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz
BenchmarkDeflateEncode/stdlib/level1/jsonlike/256B-2         	  176874	      6762 ns/op	  37.86 MB/s	         0.5391 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/256B-2         	  176895	      6772 ns/op	  37.80 MB/s	         0.5391 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/256B-2         	  177303	      6767 ns/op	  37.83 MB/s	         0.5391 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/256B-2         	  177462	      6754 ns/op	  37.90 MB/s	         0.5391 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/256B-2         	  175872	      6803 ns/op	  37.63 MB/s	         0.5391 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/256B-2         	  177196	      6768 ns/op	  37.83 MB/s	         0.5391 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/256B-2         	  177505	      6758 ns/op	  37.88 MB/s	         0.5391 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/256B-2         	  176880	      6786 ns/op	  37.73 MB/s	         0.5391 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/256B-2         	  177070	      6754 ns/op	  37.90 MB/s	         0.5391 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/256B-2         	  177394	      6760 ns/op	  37.87 MB/s	         0.5391 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/1KB-2          	  124446	      9611 ns/op	 106.55 MB/s	         0.2676 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/1KB-2          	  124761	      9620 ns/op	 106.45 MB/s	         0.2676 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/1KB-2          	  124766	      9621 ns/op	 106.44 MB/s	         0.2676 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/1KB-2          	  124688	      9623 ns/op	 106.41 MB/s	         0.2676 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/1KB-2          	  124524	      9610 ns/op	 106.55 MB/s	         0.2676 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/1KB-2          	  124797	      9612 ns/op	 106.53 MB/s	         0.2676 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/1KB-2          	  124740	      9629 ns/op	 106.35 MB/s	         0.2676 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/1KB-2          	  124609	      9623 ns/op	 106.41 MB/s	         0.2676 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/1KB-2          	  124887	      9647 ns/op	 106.15 MB/s	         0.2676 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/1KB-2          	  124581	      9654 ns/op	 106.07 MB/s	         0.2676 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/4KB-2          	   69694	     17204 ns/op	 238.08 MB/s	         0.1980 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/4KB-2          	   69682	     17219 ns/op	 237.88 MB/s	         0.1980 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/4KB-2          	   69608	     17201 ns/op	 238.13 MB/s	         0.1980 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/4KB-2          	   69776	     17241 ns/op	 237.57 MB/s	         0.1980 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/4KB-2          	   69549	     17226 ns/op	 237.78 MB/s	         0.1980 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/4KB-2          	   69692	     17213 ns/op	 237.96 MB/s	         0.1980 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/4KB-2          	   69582	     17209 ns/op	 238.01 MB/s	         0.1980 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/4KB-2          	   69667	     17212 ns/op	 237.98 MB/s	         0.1980 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/4KB-2          	   69595	     17205 ns/op	 238.07 MB/s	         0.1980 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/4KB-2          	   69733	     17230 ns/op	 237.73 MB/s	         0.1980 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/16KB-2         	   21330	     56246 ns/op	 291.29 MB/s	         0.1768 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/16KB-2         	   21228	     56377 ns/op	 290.62 MB/s	         0.1768 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/16KB-2         	   21337	     56191 ns/op	 291.58 MB/s	         0.1768 ratio	       0 B/op	       0 allocs/op
BenchmarkDeflateEncode/stdlib/level1/jsonlike/16KB-2         	   21327	     56276 ns/op	 291.14 MB/s	         0.1768 ratio	       0 B/op	       0 allocs/op
