goos: linux
goarch: amd64
pkg: github.com/zchee/gows/bench
cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz
BenchmarkMaskGorilla/64B-44         	66940713	        17.92 ns/op	3571.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64B-44         	67400026	        17.95 ns/op	3566.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64B-44         	67461826	        17.86 ns/op	3583.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64B-44         	69415095	        17.71 ns/op	3613.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64B-44         	72873057	        17.93 ns/op	3569.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64B-44         	67151259	        18.06 ns/op	3544.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64B-44         	67049601	        17.83 ns/op	3590.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64B-44         	67645290	        18.12 ns/op	3531.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64B-44         	68817250	        17.95 ns/op	3564.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64B-44         	68149122	        17.93 ns/op	3569.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/256B-44        	37410807	        32.54 ns/op	7866.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/256B-44        	36871398	        32.65 ns/op	7840.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/256B-44        	37468440	        32.51 ns/op	7874.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/256B-44        	36964004	        32.70 ns/op	7828.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/256B-44        	37441065	        32.67 ns/op	7835.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/256B-44        	37613473	        32.45 ns/op	7889.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/256B-44        	37174510	        32.58 ns/op	7857.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/256B-44        	37271803	        32.57 ns/op	7860.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/256B-44        	36609010	        32.71 ns/op	7827.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/256B-44        	37496371	        32.50 ns/op	7876.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/1KB-44         	12435313	        96.88 ns/op	10569.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/1KB-44         	12392982	        96.81 ns/op	10577.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/1KB-44         	12490106	        96.60 ns/op	10600.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/1KB-44         	12415404	        96.91 ns/op	10566.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/1KB-44         	12386220	        96.82 ns/op	10576.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/1KB-44         	12397951	        96.76 ns/op	10583.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/1KB-44         	12383890	        96.91 ns/op	10566.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/1KB-44         	12416854	        96.82 ns/op	10576.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/1KB-44         	12405702	        97.01 ns/op	10555.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/1KB-44         	12430417	        96.76 ns/op	10582.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/4KB-44         	 3332017	       360.0 ns/op	11376.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/4KB-44         	 3333104	       360.0 ns/op	11377.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/4KB-44         	 3332644	       360.0 ns/op	11377.70 MB/s	       0 B/op	       0 allocs/op
