goos: linux
goarch: amd64
pkg: github.com/zchee/gows/bench
cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz
BenchmarkMaskGorilla/64B-20         	71844051	        17.53 ns/op	3651.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64B-20         	69358152	        17.55 ns/op	3647.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64B-20         	69307993	        17.41 ns/op	3675.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64B-20         	70733162	        17.49 ns/op	3658.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64B-20         	67238160	        17.45 ns/op	3666.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64B-20         	71670643	        17.41 ns/op	3676.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64B-20         	71188635	        17.38 ns/op	3682.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64B-20         	66661773	        17.44 ns/op	3669.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64B-20         	71491329	        17.42 ns/op	3672.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/64B-20         	68125300	        17.60 ns/op	3637.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/256B-20        	38120533	        32.02 ns/op	7995.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/256B-20        	37765586	        32.13 ns/op	7968.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/256B-20        	38572906	        31.69 ns/op	8077.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/256B-20        	38829812	        32.03 ns/op	7992.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/256B-20        	37896612	        32.06 ns/op	7986.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/256B-20        	37668762	        32.41 ns/op	7897.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/256B-20        	37488250	        32.41 ns/op	7899.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/256B-20        	38133850	        32.00 ns/op	7999.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/256B-20        	37509154	        31.96 ns/op	8009.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/256B-20        	37709508	        32.05 ns/op	7988.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/1KB-20         	12570792	        96.02 ns/op	10664.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/1KB-20         	12536940	        96.31 ns/op	10632.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/1KB-20         	12511152	        96.13 ns/op	10652.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/1KB-20         	12518358	        96.22 ns/op	10642.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/1KB-20         	12503361	        96.06 ns/op	10659.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/1KB-20         	12527370	        96.10 ns/op	10655.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/1KB-20         	12545662	        96.34 ns/op	10628.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/1KB-20         	12538912	        95.93 ns/op	10673.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/1KB-20         	12544386	        96.16 ns/op	10648.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/1KB-20         	12568932	        96.04 ns/op	10662.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/4KB-20         	 3337168	       359.6 ns/op	11390.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/4KB-20         	 3336764	       359.7 ns/op	11388.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/4KB-20         	 3338760	       359.6 ns/op	11389.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/4KB-20         	 3336266	       359.7 ns/op	11386.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/4KB-20         	 3337833	       359.6 ns/op	11390.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/4KB-20         	 3335270	       359.7 ns/op	11387.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/4KB-20         	 3337617	       359.6 ns/op	11390.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/4KB-20         	 3335510	       359.8 ns/op	11385.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGorilla/4KB-20         	 3335886	       359.7 ns/op	11387.22 MB/s	       0 B/op	       0 allocs/op
